Time             Latency
1549661901.999967239 18661.4
1549661902.999950508 18185.6
1549661903.999953801 17922.6
1549661904.999964904 17571.3
1549661905.999947910 17498.6
1549661906.999963770 17488.1
1549661907.999976138 17455.7
1549661908.999994708 17493.7
1549661909.999962399 17622.9
1549661910.999962337 17436.3
1549661911.999942777 17540
1549661912.999989696 17407.1
1549661913.999977276 17526.9
1549661914.999961512 17439.9
1549661915.999896628 17729.1
1549661916.999966237 31691.9
1549661917.995588623 16626.6
1549661918.999623239 6419.99
1549661919.994331069 7057.64
1549661920.993316642 6461.37
1549661921.987359232 7026.38
1549661922.984914493 6562.89
1549661923.987048442 6560.62
1549661924.986976424 7102.44
1549661925.985845490 6519.28
1549661926.982558843 8852.29
1549661927.997803196 6418.73
1549661928.999977775 17223.5
1549661929.999975917 17302.1
1549661930.999962311 18934.3
1549661931.999934084 17450.9
1549661932.999949399 17465.3
1549661933.999945436 17729.3
1549661934.999947283 17539.7
1549661935.999967444 17585.5
1549661936.999959065 17573.9
1549661937.999976430 17517.8
1549661938.999973721 17435.6
1549661939.999892158 17519.1
1549661940.999998752 17520.3
1549661941.999966755 23954.1
1549661942.999890818 17854.8
1549661943.990506094 17527.4
1549661944.990352498 6951.75
1549661945.990771699 7562.69
1549661946.986786917 6984.76
1549661947.992257693 7680.79
1549661948.990902023 7361.26
1549661949.989401107 8275.61
1549661950.989273152 7456.25
1549661951.990473994 8859.23
1549661952.988706857 8302.41
1549661953.988138694 6986.57
1549661954.990448080 7517.72
1549661955.993248549 7735.84
1549661956.994985756 9274.2
1549661957.994051198 6728.37
1549661958.999978785 17497.2
1549661959.999982679 17434.1
1549661960.045272794 17337.2
