Time         Power
1549661904.799203800 22.194055
1549661905.803511610 22.557028
1549661906.807806392 22.590725
1549661907.812089124 22.804163
1549661908.816373307 22.674889
1549661909.820700569 22.605736
1549661910.825049168 22.590233
1549661911.829355820 22.964930
1549661912.833660128 23.000755
1549661913.837932223 23.011558
1549661914.842290904 43.252569
1549661915.885340345 55.820744
1549661916.933181160 56.012169
1549661917.989183937 56.051845
1549661919.037182487 56.564784
1549661920.105185540 56.739464
1549661921.161190967 56.751795
1549661922.217194513 56.786770
1549661923.273173415 57.651940
1549661924.337193164 50.459107
1549661925.342176182 8.698567
1549661926.345792323 8.590413
1549661927.350833499 22.035974
1549661928.355182630 21.929958
1549661929.359507124 21.856043
1549661930.363838021 21.881739
1549661931.368162187 21.950830
1549661932.372457890 22.129908
1549661933.376778624 21.981773
1549661934.381089087 22.129176
1549661935.385452468 21.899559
1549661936.389792726 21.903713
1549661937.394108709 21.850428
1549661938.398434636 22.048547
1549661939.402806322 22.261069
1549661941.441207316 54.039940
1549661942.505182595 54.957849
1549661943.561215756 55.144245
1549661944.617188318 55.163838
1549661945.677185350 55.337057
1549661946.733191344 55.269554
1549661947.797184336 55.226521
1549661948.861189874 55.281882
1549661949.917089816 55.359388
1549661950.977199558 55.340597
1549661952.037191708 55.358724
1549661953.085682801 55.497764
1549661954.141190665 55.367368
1549661956.185148835 8.898149
1549661957.189968023 22.404076
