Time         Tput
1549661901 13951
1549661902 14130
1549661903 14099
1549661904 14198
1549661905 14118
1549661906 14221
1549661907 14180
1549661908 14128
1549661909 14077
1549661910 14188
1549661911 14152
1549661912 14201
1549661913 14191
1549661914 14122
1549661915 14159
1549661916 14454
1549661917 15045
1549661918 15254
1549661919 15234
1549661920 15544
1549661921 15217
1549661922 15315
1549661923 15356
1549661924 15340
1549661925 14871
1549661926 14254
1549661927 14177
1549661928 14186
1549661929 14187
1549661930 14147
1549661931 14202
1549661932 14134
1549661933 14104
1549661934 14178
1549661935 14104
1549661936 14124
1549661937 14211
1549661938 14104
1549661939 14087
1549661940 14494
1549661941 16206
1549661943 21410
1549661944 23628
1549661945 25530
1549661946 23426
1549661947 21281
1549661948 34127
1549661949 26357
